Rk,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
361,SF,29,12,3,15.4,1.9,4.8,0.40399999999999997,0.8,2.2,0.34600000000000003,1.2,2.6,0.452,0.48200000000000004,0.1,0.5,0.16699999999999998,1.1,1.0,2.1,0.3,0.2,0.3,0.5,1.7,4.7
333,SF,26,30,12,14.3,1.5,3.9,0.385,0.9,2.7,0.34600000000000003,0.6,1.2,0.47200000000000003,0.504,0.6,0.7,0.85,0.3,1.3,1.5,0.8,0.4,0.1,0.4,1.5,4.5
257,SF,24,36,36,34.4,8.2,18.4,0.44299999999999995,1.6,4.7,0.345,6.6,13.8,0.47600000000000003,0.486,4.5,5.5,0.818,0.8,5.3,6.1,5.2,0.6,0.3,2.6,2.0,22.4
342,SF,26,36,9,23.1,3.7,7.2,0.517,1.0,2.8,0.37,2.7,4.4,0.61,0.589,1.1,1.6,0.7140000000000001,1.3,2.8,4.0,0.9,1.1,0.5,0.8,1.7,9.6
557,SF,27,18,4,17.8,2.1,5.5,0.384,1.1,3.1,0.345,1.1,2.4,0.43200000000000005,0.48,0.8,1.3,0.583,0.7,2.8,3.6,0.8,0.4,0.6,0.7,1.4,6.1
155,SF,21,25,0,10.6,1.3,3.0,0.42100000000000004,0.5,1.6,0.308,0.8,1.5,0.541,0.5,0.5,0.6,0.813,0.6,1.4,2.0,0.7,0.5,0.0,0.4,1.3,3.6
231,SF,25,4,0,10.5,1.0,2.0,0.5,1.0,1.8,0.5710000000000001,0.0,0.3,0.0,0.75,0.0,0.0,0.0,0.5,0.8,1.3,0.0,0.0,0.3,0.0,0.8,3.0
78,SF,22,33,2,15.7,1.7,4.0,0.41700000000000004,0.6,1.8,0.311,1.1,2.2,0.507,0.489,0.5,0.7,0.773,0.6,2.4,3.0,1.2,0.6,0.1,0.4,0.9,4.4
264,SF,26,3,0,7.7,1.7,2.3,0.7140000000000001,1.0,1.7,0.6,0.7,0.7,1.0,0.929,0.0,0.0,0.0,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.7,4.3
309,SF,24,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,SF,26,38,38,34.0,9.0,18.4,0.491,2.9,7.2,0.41200000000000003,6.1,11.2,0.542,0.5720000000000001,3.9,4.5,0.872,0.3,4.4,4.8,4.2,0.6,0.3,2.8,1.6,24.9
117,SF,31,41,4,17.9,2.3,4.8,0.47200000000000003,0.7,2.3,0.309,1.6,2.5,0.621,0.546,0.6,0.7,0.828,1.2,2.4,3.7,1.1,0.4,0.3,0.7,1.8,5.8
547,SF,20,47,47,32.3,5.8,12.9,0.452,1.2,3.5,0.341,4.6,9.4,0.493,0.498,2.5,3.0,0.843,1.1,3.6,4.8,2.8,1.0,0.5,1.6,2.2,15.3
255,SF,38,25,0,20.5,1.6,4.0,0.386,0.5,2.4,0.217,1.0,1.6,0.634,0.45,0.5,0.6,0.813,0.8,2.6,3.4,3.9,0.8,0.8,0.9,1.0,4.2
572,SF,27,37,0,20.5,2.8,6.1,0.46,0.8,2.2,0.38799999999999996,1.9,3.9,0.5,0.529,0.6,1.1,0.537,1.4,2.6,4.1,1.9,0.9,0.1,0.8,1.7,7.0
82,SF,30,38,13,23.6,2.2,5.9,0.379,1.4,4.4,0.32,0.8,1.4,0.564,0.5,0.4,0.5,0.737,0.4,2.7,3.1,1.2,0.4,0.1,0.5,1.3,6.3
139,SF,22,41,41,32.2,5.5,13.9,0.39799999999999996,2.4,7.5,0.324,3.1,6.4,0.485,0.485,2.8,3.3,0.852,0.6,3.4,4.0,1.6,0.8,0.4,1.6,2.9,16.2
250,SF,23,10,1,6.2,1.0,1.9,0.526,0.7,1.4,0.5,0.3,0.5,0.6,0.711,0.3,0.3,1.0,0.0,0.9,0.9,0.4,0.2,0.0,0.4,0.4,3.0
226,SF,22,6,0,2.8,0.2,0.8,0.2,0.0,0.2,0.0,0.2,0.7,0.25,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.3,0.3,0.3,0.3
299,SF,22,5,0,11.0,1.8,5.2,0.34600000000000003,1.0,3.2,0.313,0.8,2.0,0.4,0.442,1.2,1.4,0.857,0.0,1.6,1.6,0.2,0.4,0.0,0.0,1.6,5.8
576,SF,20,29,8,20.1,2.5,6.1,0.40399999999999997,1.0,3.7,0.27399999999999997,1.5,2.5,0.597,0.486,0.5,0.6,0.833,0.2,1.3,1.6,0.8,0.5,0.2,0.6,1.8,6.5
394,SF,28,14,0,10.4,0.9,2.5,0.34299999999999997,0.3,1.0,0.28600000000000003,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
32,SF,21,39,39,32.3,6.1,14.6,0.41700000000000004,1.9,5.5,0.35,4.2,9.1,0.456,0.48200000000000004,2.8,4.2,0.685,0.8,4.9,5.7,2.4,0.5,0.3,2.0,2.1,16.9
158,SF,31,3,0,4.7,0.7,2.0,0.33299999999999996,0.0,0.7,0.0,0.7,1.3,0.5,0.33299999999999996,0.0,0.3,0.0,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3
252,SF,25,6,0,3.7,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.3,0.5,0.5,0.3,0.3,1.0,0.0,0.8,0.8,0.3,0.0,0.0,0.7,0.2,0.7
337,SF,25,46,15,29.4,3.9,8.2,0.47600000000000003,1.0,2.8,0.369,2.9,5.4,0.532,0.54,1.4,1.9,0.7440000000000001,1.4,3.9,5.3,2.3,0.5,0.1,1.1,2.2,10.3
56,SF,21,24,2,7.8,0.4,1.3,0.281,0.1,0.5,0.16699999999999998,0.3,0.8,0.35,0.313,0.3,0.4,0.889,0.6,0.8,1.5,0.5,0.2,0.0,0.5,0.9,1.2
343,SF,26,41,6,27.0,3.0,6.4,0.466,1.0,2.3,0.447,2.0,4.1,0.47600000000000003,0.546,1.2,1.7,0.7140000000000001,1.3,3.0,4.2,2.7,1.4,0.5,0.9,1.6,8.2
312,SF,24,2,0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
325,SF,21,40,21,25.5,3.3,7.3,0.444,1.1,3.6,0.31,2.1,3.7,0.574,0.52,1.7,2.2,0.742,1.4,4.2,5.5,1.2,0.6,0.9,0.9,2.0,9.3
578,SF,25,30,0,10.7,1.1,2.4,0.451,0.7,1.7,0.41200000000000003,0.4,0.7,0.55,0.599,0.2,0.3,0.875,0.4,1.5,1.9,0.8,0.3,0.1,0.3,1.0,3.1
71,SF,25,36,18,21.6,2.8,5.8,0.488,0.3,0.9,0.313,2.5,4.9,0.52,0.512,0.7,0.9,0.774,1.3,3.1,4.4,1.2,1.1,0.5,0.7,2.7,6.6
13,SF,29,28,5,11.9,1.4,2.9,0.46299999999999997,0.0,0.4,0.091,1.3,2.5,0.521,0.47,0.5,0.9,0.625,1.1,1.7,2.8,0.7,0.5,0.3,0.6,1.9,3.3
239,SF,32,40,31,28.8,3.8,9.4,0.406,2.7,7.1,0.37200000000000005,1.2,2.3,0.511,0.546,0.7,0.8,0.818,0.3,2.5,2.8,1.7,0.7,0.4,1.0,2.1,11.0
153,SF,21,14,7,25.6,3.1,7.1,0.444,1.4,3.4,0.426,1.7,3.7,0.462,0.545,0.1,0.1,1.0,1.3,2.9,4.1,0.9,1.0,0.7,1.1,1.9,7.8
313,SF,29,31,0,14.8,2.2,5.9,0.368,1.0,3.0,0.337,1.2,2.9,0.4,0.45299999999999996,1.7,1.9,0.898,0.4,1.9,2.4,1.3,0.5,0.4,0.6,1.2,7.0
251,SF,24,17,16,29.1,4.9,10.9,0.45399999999999996,1.6,4.1,0.4,3.3,6.8,0.48700000000000004,0.53,1.2,1.8,0.677,0.4,3.0,3.4,1.0,0.6,0.5,1.4,2.6,12.8
344,SF,26,27,1,16.4,2.6,6.2,0.41700000000000004,0.8,2.7,0.297,1.8,3.5,0.511,0.48200000000000004,0.3,0.5,0.6920000000000001,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
200,SF,28,29,18,22.2,2.1,4.3,0.496,0.4,1.1,0.364,1.7,3.2,0.5429999999999999,0.544,1.1,1.4,0.8,1.5,2.7,4.2,1.0,0.8,0.4,0.6,2.1,5.8
483,SF,25,2,0,5.5,1.5,3.0,0.5,0.0,0.5,0.0,1.5,2.5,0.6,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0
19,SF,21,46,6,22.5,2.6,6.0,0.43700000000000006,0.8,2.8,0.302,1.8,3.2,0.5539999999999999,0.507,1.1,1.5,0.731,0.7,4.0,4.7,1.6,0.8,0.7,0.9,2.2,7.2
245,SF,28,4,0,16.3,1.8,4.0,0.43799999999999994,1.0,2.8,0.364,0.8,1.3,0.6,0.563,0.5,0.5,1.0,0.5,1.5,2.0,1.5,0.3,0.3,0.3,1.5,5.0
317,SF,27,19,1,8.3,0.9,2.4,0.37,0.2,1.3,0.16699999999999998,0.7,1.2,0.591,0.413,0.3,0.4,0.75,0.2,1.0,1.2,0.3,0.3,0.2,0.4,0.4,2.3
